subject,question,choices,correct_answer,model_answer,is_correct,exact_match,ttft_ms,total_time_s,response_text,model,error
"abstract_algebra","Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.","0 | 4 | 2 | 6","B","A",false,false,167,2.569,"A) 0  The degree of a field extension Q is the degree of the smallest polynomial that is irreducible over Q. In this case, the smallest irreducible polynomial over Q is (x - sqrt(2)), (x - sqrt(","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"abstract_algebra","Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.","8 | 2 | 24 | 120","C","A",false,false,126,0.363,"A) 8","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"anatomy","A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral","paralysis of the facial muscles. | paralysis of the facial muscles and loss of taste. | paralysis of the facial muscles, loss of taste and lacrimation. | paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.","A","A",true,false,138,0.595,"A) paralysis of the facial muscles.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"anatomy","A ""dished face"" profile is often associated with","a protruding mandible due to reactivation of the condylar cartilage by acromegaly. | a recessive maxilla due to failure of elongation of the cranial base. | an enlarged frontal bone due to hydrocephaly. | defective development of the maxillary air sinus.","B","A",false,true,108,0.160,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"astronomy","What is true for a type-Ia (""type one-a"") supernova?","This type occurs in binary systems. | This type occurs in young galaxies. | This type produces gamma-ray bursts. | This type produces high amounts of X-rays.","A","A",true,false,85,1.042,"A The type Ia supernova is a type of supernova that occurs in binary systems.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"astronomy","If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:","Its speed relative to you | Its composition | Its size | Its distance from you","D","A",false,false,86,0.190,"A.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"business_ethics","_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______.","Cryptocurrencies, Expensive, Secure, Financial Crime | Traditional currency, Cheap, Unsecure, Charitable giving | Cryptocurrencies, Cheap, Secure, Financial crime | Traditional currency, Expensive, Unsecure, Charitable giving","C","A",false,false,144,0.750,"A) Cryptocurrencies, Expensive, Secure, Financial Crime","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"business_ethics","Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.","Unsafe practices, Wants, Fear, Trivial | Unsafe practices, Distress, Fear, Serious | Safe practices, Wants, Jealousy, Trivial | Safe practices, Distress, Jealousy, Serious","B","A",false,false,109,2.463,"A) Unsafe practices, Wants, Fear, Serious  The correct answer is A) Unsafe practices, Wants, Fear, Serious. Typical advertising regulatory bodies suggest that adverts must not encourage unsafe practices, cause unnecessary distress or fear, or cause serious offence.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"clinical_knowledge","What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?","18 gauge. | 20 gauge. | 22 gauge. | 24 gauge.","A","A",true,false,95,0.205,"A)","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"clinical_knowledge","The key attribute in successful marathon running is:","strength. | power. | stride length. | stamina.","D","D",true,true,77,0.133,"D","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_biology","Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to","maintain the population at a point corresponding to the midpoint of its logistic curve | opt for zero population control once the K value of the curve has been reached | reduce the carrying capacity cif the environment to lower the K value | increase the mortality rate","C","A",false,true,110,0.162,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_biology","A frameshift mutation is created when","telomeric sequences are removed from DNA | a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one | a base pair is either inserted or deleted in a gene | a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation","C","B",false,true,108,0.155,"B","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_chemistry","The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?","r = k ln[A] | r = k [A]^2 | r = k [A] | r = k","D","A",false,false,105,0.483,"A) r = k ln[A]","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_chemistry","Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because","all molecular bonds absorb IR radiation | IR peak intensities are related to molecular mass | most organic functional groups absorb in a characteristic region of the IR spectrum | each element absorbs at a characteristic wavelength","C","A",false,false,107,0.366,"A, C, D","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_computer_science","The access matrix approach to protection has the difficulty that","the matrix, if stored directly, is large and can be clumsy to manage | it is not capable of expressing complex protection requirements | deciding whether a process has access to a resource is undecidable | there is no way to express who has rights to change the access matrix itself","A","A",true,false,108,2.445,"A) the matrix, if stored directly, is large and can be clumsy to manage  The access matrix approach to protection is a method for managing access to resources. The matrix is a table that stores the access information for each resource. However, if","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_computer_science","An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers?","{-6,-2, -1, 1, 2, 6} | {-6, -2, -1, 0, 1, 2, 6} | {-6, -3, -2, -1, 1, 2, 3, 6} | {-6, -3, -2, -1, 0, 1, 2, 3, 6}","C","A",false,false,172,0.281,"A)","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_mathematics","Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true?","k = 0 and n = 1 | k = 1 and n = 0 | k = n = 1 | k > 1","B","A",false,false,126,2.466,"This problem can be solved by using the Intermediate Value Theorem (IVT). The IVT states that if a function f(x) is continuous on the interval [a, b] and f(a) < f(x) < f(b) for","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_mathematics","Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ?","0 | 1 | 2 | 3","D","A",false,false,118,1.907,"The correct answer is A) 0.  The only group of order 16 that satisfies the given condition is the trivial group, which is the only group up to isomorphism.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
