subject,question,choices,correct_answer,model_answer,is_correct,exact_match,ttft_ms,total_time_s,response_text,model,error
"abstract_algebra","Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.","0 | 4 | 2 | 6","B","B",true,false,101,0.137,"B) 4","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"abstract_algebra","Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.","8 | 2 | 24 | 120","C","B",false,false,99,0.133,"B) 2","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"anatomy","A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral","paralysis of the facial muscles. | paralysis of the facial muscles and loss of taste. | paralysis of the facial muscles, loss of taste and lacrimation. | paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.","A","C",false,false,121,0.245,"C) paralysis of the facial muscles, loss of taste,","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"anatomy","A ""dished face"" profile is often associated with","a protruding mandible due to reactivation of the condylar cartilage by acromegaly. | a recessive maxilla due to failure of elongation of the cranial base. | an enlarged frontal bone due to hydrocephaly. | defective development of the maxillary air sinus.","B","B",true,false,101,0.266,"B) a recessive maxilla due to failure of elongation of the cranial base.","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"astronomy","What is true for a type-Ia (""type one-a"") supernova?","This type occurs in binary systems. | This type occurs in young galaxies. | This type produces gamma-ray bursts. | This type produces high amounts of X-rays.","A","B",false,false,98,0.179,"B) This type occurs in young galaxies.","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"astronomy","If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:","Its speed relative to you | Its composition | Its size | Its distance from you","D","B",false,false,98,0.136,"B) Its composition","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"business_ethics","_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______.","Cryptocurrencies, Expensive, Secure, Financial Crime | Traditional currency, Cheap, Unsecure, Charitable giving | Cryptocurrencies, Cheap, Secure, Financial crime | Traditional currency, Expensive, Unsecure, Charitable giving","C","B",false,false,124,0.273,"B) Traditional currency, Cheap, Unsecure, Charitable giving","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"business_ethics","Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.","Unsafe practices, Wants, Fear, Trivial | Unsafe practices, Distress, Fear, Serious | Safe practices, Wants, Jealousy, Trivial | Safe practices, Distress, Jealousy, Serious","B","B",true,false,122,0.236,"B) Unsafe practices, Distress, Fear, Serious","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"clinical_knowledge","What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?","18 gauge. | 20 gauge. | 22 gauge. | 24 gauge.","A","B",false,false,99,0.164,"B) 20 gauge.","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"clinical_knowledge","The key attribute in successful marathon running is:","strength. | power. | stride length. | stamina.","D","B",false,false,75,0.112,"B) power.","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_biology","Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to","maintain the population at a point corresponding to the midpoint of its logistic curve | opt for zero population control once the K value of the curve has been reached | reduce the carrying capacity cif the environment to lower the K value | increase the mortality rate","C","B",false,false,122,0.305,"B) opt for zero population control once the K value of the curve has been reached","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_biology","A frameshift mutation is created when","telomeric sequences are removed from DNA | a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one | a base pair is either inserted or deleted in a gene | a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation","C","C",true,true,122,0.132,"C","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_chemistry","The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?","r = k ln[A] | r = k [A]^2 | r = k [A] | r = k","D","C",false,false,98,0.147,"C) r = k","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_chemistry","Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because","all molecular bonds absorb IR radiation | IR peak intensities are related to molecular mass | most organic functional groups absorb in a characteristic region of the IR spectrum | each element absorbs at a characteristic wavelength","C","C",true,false,99,0.239,"C) most organic functional groups absorb in a characteristic region of the IR spectrum","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_computer_science","The access matrix approach to protection has the difficulty that","the matrix, if stored directly, is large and can be clumsy to manage | it is not capable of expressing complex protection requirements | deciding whether a process has access to a resource is undecidable | there is no way to express who has rights to change the access matrix itself","A","C",false,false,99,0.243,"C) deciding whether a process has access to a resource is undecidable","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_computer_science","An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers?","{-6,-2, -1, 1, 2, 6} | {-6, -2, -1, 0, 1, 2, 6} | {-6, -3, -2, -1, 1, 2, 3, 6} | {-6, -3, -2, -1, 0, 1, 2, 3, 6}","C","B",false,true,185,0.194,"B","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_mathematics","Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true?","k = 0 and n = 1 | k = 1 and n = 0 | k = n = 1 | k > 1","B","B",true,false,123,0.225,"B) k = 1 and n = 0","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_mathematics","Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ?","0 | 1 | 2 | 3","D","B",false,false,98,0.136,"B) 1","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_medicine","A police officer carries out hundreds of traffic stops every year. When his supervisor is reviewing the officer’s records for the past year, he notices that the officer is equally likely to stop people of various genders, ages, and races. However, he is significantly more likely to write tickets for middle-aged white males with dark hair and eyes. When confronted with this fact, the officer truthfully states that he has no idea why that is, and that it must simply be a coincidence. Unbeknownst to the officer, this behavior is tied to the fact that these men look like his father, with whom he had an abusive relationship as a child. What psychological framework would directly address the unconscious bias in his behavior? ","Behaviorist | Psychoanalytic | Cognitive behavioral | Humanistic","B","B",true,false,171,0.214,"B) Psychoanalytic","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_medicine","Who set the world record for the mile race in 1886?","R Bannister | S Coe | J DiMaggio | WG George","D","B",false,false,76,0.117,"B) S Coe","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
"college_physics","The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons","an average of 10 times, with an rms deviation of about 4 | an average of 10 times, with an rms deviation of about 3 | an average of 10 times, with an rms deviation of about 1 | an average of 10 times, with an rms deviation of about 0.1","B","B",true,false,145,0.310,"B) an average of 10 times, with an rms deviation of about 3","SmolLM2-1.7B-Instruct-q4f16_1-MLC",""
